Anime Title,Reviewer,Review Text
"Ijiranaide, Nagatoro-san",f2k8,"""Ijiranaide, Nagatoro-san"" provavelmente é um título que te trás muitas memórias - sejam elas boas ou ruins - visto que foi um dos principais animes a serem lançados durante a pandemia. Sob essa ótica, o enredo da série gira em torno do romance entre um garoto antissocial chamado Naoto Hachiouji e uma garota chamada Hayase Nagatoro, uma jovem que usa a introversão de Naoto para fazer provocações, as quais são o fator de comédia da obra. Ao decorrer do anime, porém, percebemos que Nagatoro começa a nutrir sentimentos pelo seu ""senpai"", como ela o chama, e suas provocações começam a ter um teor de flerte,
                  ...
constituindo uma estrutura de enredo padrão para uma comédia romântica.

Por mais que o enredo em si aparente ser interessante, Nagatoro falha em sua execução. O protagonista possui zero experiência amorosa (e zero desenvolvimento da mesma ao decorrer da série) e sempre responde de forma embaraçosa aos avanços da Nagatoro, que também é uma personagem rasa, cujo único traço de personalidade é provocar o Naoto. Os personagens secundários também são rasos e irritantes, principalmente as amigas da Nagatoro, que são praticamente clones dela e fazem o mesmo papel que a Nagatoro, como se elas não tivessem personalidade própria. O humor se torna enjoativo rápido, pois todas as piadas são praticamente iguais, consistindo das mesmas provocações da Nagatoro sendo recicladas de novo e de novo em contextos levemente diferentes. Além disso, o ""romance"" não progride: o relacionamento entre os dois personagens principais quase não muda, tendo um pouco de progresso no começo mas se estagnando do meio ao fim. Podemos descrever Nagatoro como uma comédia romântica sem comédia ou romance. Apesar de tudo isso, o anime ainda possui seus momentos bons, com cenas fofas entre o protagonista e a deuteragonista, onde o espectador começa a acreditar que o relacionamento entre os dois irá progredir. Entretanto, essa esperança é prontamente destruída na próxima cena, onde a relação regride para onde ela estava antes e a cena anteriormente mencionada perde todo o seu sentido.

Em suma, ""Ijiranaide, Nagatoro-san"" é uma comédia romântica genérica que reusa as mesmas piadas durante toda a sua duração, não tentando sair de sua zona de conforto e inovar em nenhum momento. Além do que foi citado anteriormente, outra coisa que separa a obra de comédias românticas bem-sucedidas, ao exemplo de Kaguya-sama, é a unidimensionalidade dos personagens - que, em sua maioria, possuem apenas um traço de personalidade, servindo apenas para progredir a repetitiva ""história"" do anime. Se você gostar de comédias românticas bobas e repetitivas, que mantêm uma estrutura fixa e previsível do começo ao fim e têm medo de inovar, dê uma chance a Nagatoro, caso contrário, você estará perdendo seu tempo."
Tengoku Daimakyou,ZalMohr,"A Promised Neverland outside and inside POV anime? kinda. 
but honestly this show was great from start to finish, episode 8 being the best episode that makes you instantly fall in love with a character they just introduced.

The way both perspectives were shown and narrated was interesting. They both gave hints about what's really happening, and it makes you think about how those hints can be connected.

This show would have been a 10/10 if not for the random groping scenes and Maru going for kisses 24/7.
Overall i think this is a show most people will find very enjoyable, so it's worth the watch!"
Kidou Senshi Gundam,Wander42314,"as it happens to be one of the most famous animes i knew i had to check this one out and lemme tell you this lived up to the hype. the highs were some of the best anime ive seen yet. yet the lows were quite low.
the story is quite simple yet interesting in how its done, a war between the earth and the zeon forces and this is some of the best parts of this when they focus on the war as a whole showing both sides (zeon a bit less) as just people fighting for what they believe in (minus the whole nazi
                  ...
government that zeon was kinda turning into) 9/10
characters were my second favorite part everyone felt really unique and different to each other only downside being how sometimes the minor characters can be dropped a bit frau beau obviously being my least favorite victim of this, as shes not explored that much through the show after the first few episodes and every now and then to show up to do her thing and leave. 8.5/10
animation was obviously the biggest hitch in this show being made in '79 i knew it would be bad yet other than the overuse of specificic animations especially with the rx-78. yet it was great for the time which is why instead of a 3 or even a 2 im giving it a 6/10.
im not gonna go indepth on the music of this series as its not what i watch for but for what its worth i thought it was pretty good but needing a bit more selection.
now for my least favorite part of this the run time, this show is really good at its beginning, good at some parts of the middle and amazing at the end. some parts being how the middle kinda turns into a monster of the week show and it really messed me up when i was hoping for more exploration of the world and its characters and id say instead of 42 episodes i would have much rathered a 25-30 episode run as some of that middle  really lowered my rating of this show.
now for the final reveal i would give this an 8.75/10 compared to nowadays i would give this a 6/10 and back then a 9.5/10."
Romantic Killer,Wrosgar,"The short of it for why I stopped watching, is the main premise of the show gave it a quirky start, but became overbearing to the point that it was no longer interesting.

Premise is girl who is enjoying her personal life with games, chocolate and spending time with her pet cat, gets ""chosen"" by a magical being to lose her favourite things in favor of finding romance possibilities with multiple real world guys. Main character is avidly against this being forced upon her and fights against whatever the magical character concocts and the execution of the show itself is a good one! But as I
                  ...
kept watching more, the quirk of the magical character becomes overbearing and overly contrived. Setting up nonsensical cliched happenstance moments, seemingly brainwashing characters into existence to fit tropes, and loses it's magic very quickly with it's reliance on ""magic"".

For me, there was clearly a point in episode 3 or 4 where they could have let off the gas on the contrived magicalness forcing unrealistic scenarios onto the characters and let things play out more naturally with nudging here and there. But nope, it keeps forcing things to an extreme degree where the show was no longer enjoyable and became no longer worth the watch. Too bad, because the shows execution, characters & dialogue were all done well enough that I could have liked the show if it wasn't for the overbearing magical ""happenstance""!"
Shinreigari,XXzz48,"PS Ratings and rating ruin both enlightenment and enjoyment you are otherwise able to gather from art.

Oh, buckle up folks, because we're about to dive into the ghostly world of ""Shinreigari""! Now, I have to warn you, this anime is so hauntingly good, it might just make your funny bone rattle with laughter. So grab your ectoplasmic popcorn and let's get this review started!

First things first, this anime has more twists and turns than a haunted mansion's staircase. You think you know what's going on? Think again! ""Shinreigari"" will have you scratching your head like a ghost trying to remember how they died. But fear
                  ...
not, because the confusion is part of the charm. It's like a ghostly scavenger hunt, trying to piece together the puzzle of the afterlife while not spilling your popcorn in the process.

Now, let's talk about the characters. They're so well-developed, they could give Casper a run for his money. The protagonist, let's call him ""Spooky McSleuth,"" is a detective with a sixth sense for the supernatural. He's got more spirit than a haunted Ouija board and more wit than a ghostly stand-up comedian. And boy, do the ghosts love to mess with him! It's like they're auditioning for a role in a ghostly sitcom.

Speaking of ghosts, this anime has got a whole spectral buffet of them. We've got your classic vengeful spirits, your mischievous poltergeists, and even a few friendly Caspers thrown in for good measure. It's like a ghost convention in there, and they're all vying for the title of ""Scariest Specter."" But don't worry, they're not that scary. I mean, they're no match for your average Scooby-Doo episode. Jinkies!

Now, let's not forget the animation. It's so beautifully done, it's like a ghostly dance of colors and shadows. The art style is hauntingly gorgeous, with every ghostly detail meticulously crafted. It's like the animators dipped their brushes in ectoplasm and painted a masterpiece. The attention to detail is so impressive, it's like they summoned the spirits of Van Gogh and Picasso to lend a ghostly hand.

But let's not get too serious here, folks. We're talking about an anime that's as funny as a ghostly prank gone wrong. The jokes and puns are so cleverly woven into the storyline, it's like they were ghostwritten by a comedy genius. You'll be chuckling like a ghostly chain rattling in no time. Just be careful not to wake any sleeping spirits with your laughter!

In conclusion, ""Shinreigari"" is a ghostly delight that will have you laughing, scratching your head, and reaching for the popcorn all at once. It's a rollercoaster ride through the afterlife, filled with witty humor and supernatural shenanigans. So, if you're ready to have your funny bone tickled by some ghostly hilarity, then this anime is a must-watch. Just be prepared for a paranormal adventure that will leave you wanting more. Happy haunting, my fellow anime enthusiasts!"
Fullmetal Alchemist: Brotherhood,argy97,"Plot: (8/10)
2 Brothers get into an accident wich leaves their bodies in a bad state, they later join the army and become alchemists in order to get them back fighting many strong opponents in the way and making many friends. thats the synopsis as an idea it sounds ok but its execution is great

Animation: (7/10)
It has a good animation it still holds even to this day but compared to the new anime it might seem a bit old

Villains: (4/10)
The villains do stupid decision after stupid decision, replace them with any villain in shonen and they would have won in the end i am not talking
                  ...
about strength or fights and staff i am talking about planning they had a ""perfect plan"" that was full of holes and ended up failing because of their incompitance its not that the heroes are so smart they figured out a way to beat them its that they did almost nothing to stop them.

Characters: (8/10)
Most characters are very likeable even some of the villains the only problem i could find are the designs i am not a fan of them but they are ok

Ending: (7/10)
Making a good ending is hard and compared to other anime and manga endings it might be one of the best endings but it left many questions but its more personal i would want to see more on what happens after that many characters got their endings but the protagonists didnt or at least thats what i think

Enjoyability: (7/10)
Its one of the most enjoyable series out there but its not as enjoyable as the big 3 or the popular series i cant say what exactly is missing

Overall: (8/10)
if you are looking for the best anime you will not find it here, if you want a top tier fighting shonen its not it, if you want the best villains again its not fmab but if you want a good story with a nice plot and and a decent ending then its a story for you"
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,KaburKert,"Visuals are fine. Yet i dont know how to feel about budget since half of the op is previous ep. It can be good, maybe.
 I realy did not laugh at the comedy nor i get sad about anything. It has the feeling of an OP MC... which can be good if they lean on comedy or epic part. But this anime is trying to be comedy which is not a good choice for a zombie anime. How are they going to make an 12 ep around zombie comedy?
 I don't know the manga if it has one nor idc.(not a big manga reader.) I
                  ...
cannot see in top 100 but if you like a mid comedy anime go for it i guess.
 It couldn't make me feel a lot but i didnt get bored... that much."
To Heart: Remember My Memories Specials,Otakudachinya,"half of this was just fanservice … i don't even remember what the plot to this anime even really was at all however i can remember that their was a bunch of anime girls fighting with a ton of shots of their panties and that was basically it.

There isn't much else for me to say.. the episodes were only short and their is only like 7 episodes but if your into anime girls moaning and having their skirts blown upwards from the wind revealing their panties i guess this would be perfect for you and you could probably get through it all within 30 minutes
                  ...
but be cautious of shots of panties if you decide to watch !"
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,baxa,"""BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense. Season 2""

Genre- Action, Adventure, Fantasy, Game, Comedy.

The 2nd season of Bofuri starts right where it left us. From introducing many new levels to different and much stronger bosses, this 2nd season brings you even more action and thrill in the world of ""New World Online"" and particularly in the ""Maple Tree"" guild.

While the main story sticks to its basics and delivers the punches we are looking for, this season lacks the excrement the prologue had in terms of an overpowered MC, a surprise element like the ones we used to see in
                  ...
PvP battles, and also a top tier animation that could wow the life out of you. With the primary focus, this time being guild competitions and the progress of all the characters and not only the MC, the 2nd season fails massively in comparison to the first season. It has a good storyline if you want to witness only action and a game-type environment, but if you wanted to go back to this anime for OP Maple that made us laugh, jump around in excitement, and hooked on to the chair, I would say it's better to skip this season as it has nothing of the sort which can captivate you as it did before.

And to add to all of this, the 2nd season also fails us in terms of animation and action sequences as it lowers them by almost 10 folds and you can't help but wonder when will all this be over. And while it may have a solid storyline for future seasons, I can say that if this is what's getting delivered, it is better to probably skip it.

This anime is recommended for every ""ACTION"" anime lover."
ChroNoiR Episode.0,Detective_Chi,"Gorgeous! Breathtaking, I thought I had gone to heaven

If you know Kanae, Kuzuha and their lore in their unit ChroNoiR, this short animation highlights portions that we already know with new infomation.
A-1 Pictures outdid themselves with the gorgeous animation capturing the beauty of Kanae and Lagusa/Sasha.

Kanae and Kuzuha's voice acting was perfect!! Perfectly encapsulating their roles as themselves without feeling forced or inconsistent, despite their first time being voice actors for an anime/animation.

The soundtrack was heavenly with multiple bgms and the instrumental of Geminids and the ed, ""Wanderers"" composed by Dios and sung by Kanae and Kuxuha themselves was a blessing on the ears.

Highly recomend!!"
Kimitachi wa Dou Ikiru ka,Sigsig,"The movie feels like a series of short stories forcibly strung together with unrelated characters. I expect that there is some abstract meaning to it, but it was not obvious to me as an average moviegoer. The protagonist, while not very vocal, is unusually perceptive and somehow recognizes those seemingly unrelated characters and matches them with actual people he knows, which always turn out to be correct guesses. In the abrupt end, I was filled with more questions about the motivations and aftermath of what happened to the sub characters. Unlike the other Ghibli films that teaches a moral or converses a message, I didn't
                  ...
get what was supposed to be the point of this movie. 

That said, the animation and sound are all on point which makes this a pleasing experience for the eyes and ears, but not quite brain. I would recommend it if you love Ghibli films and have 2 hours to kill."
Hataraku Maou-sama!! 2nd Season,revankutaro,"Devil is a Part-Timer itself is an okay story. I'm no active manga reader so I can't talk about whether or not the anime adaptation is any better or any worse. It's a comedy/fantasy with a hint of slice-of-life and surprisingly kind-of-but-maybe-not-so-accurate biblical accuracy that made me genuinely curious enough to research the mythological references on multiple occasions. That being said, the story is simple and easy-to-follow, allowing a casual viewing experience and rewarding you for not taking it so seriously.

The characters are funny and the demon dudes are quick to retort with simple-but-effective comebacks to make the angel gals blush up and pout. It's
                  ...
not knee-slapper comedy, but it's certainly given me a few occasional wide smiles.

 I do much prefer the current studio's (3Hz) art style over the previous (White Fox's) despite it being just as simple and generic; it's softer and more pleasant to look at, and the girls got a very cute glow-up.

And the negatives...
The characters have abysmal growth. After two full seasons and some change, they might act slightly different around one another but there's still that looming sense of ""you're my mortal enemy and I don't entirely trust you."" Emilia is the biggest example of this. You get this feeling every episode that she might turn a new leaf and accept Maou as being just a ""good guy"" and even admit feelings despite the strenuous amount of romantic tension forced onto the viewer via Chiho, but it just never happens. It's even more apparent since the beginning of the second season where they're now literally raising a child together, albeit with the help of Shirou and friends. 

And, ah, Chiho. From kind-of-cute side character to Mary Sue. She was a useless character in need of saving, but now she's even BETTER! A character with newfound powers who is quick to learn and has innate talent, but is also useless and always in need of saving. I was on the fence about her and was just about to admit I liked her as a character until this season.

Lastly, I want to highlight the biggest issues I have with a lot of shows: consequences. I can understand writers not wanting to throw away or kill-off characters, but it feels wrong for such massive problems to have such little permanent consequences on the group.

TL;DR
The show is fine if you can overlook what I personally think is appallingly slow character growth between the beginning of season two and now. Even so, it's an entertaining watch and I'd even go so far as to say I love it despite its flaws. So I'm not gonna go against recommending it, but I can say with certainty it's one of those shows that has a great first season to hook you in but disappointing sequels if you hold high standards and overhype.

That being said, this is really a review of the second season + the three episodes we've seen so far, so I won't be so quick to judge negatively. It's at least worth a 5/10, but because I still really do love the show, it deserves another point."
Jujutsu Kaisen 2nd Season,revankutaro,"After watching the first episode I was kind of disappointed to start out with ""prequel"" episodes. I was hoping for a jump straight into Itadori's next adventure with the group but I was *not* expecting the weight of these episodes. 

 The beautifully drawn backgrounds, and the perfect choice of classical music to go along with them. I wasn't head-over-heels for MAPPA after they took over AOT's animation and never really looked too close at anything but the characters, but they've outdone themselves so far with JJK. In stark contrast to Chainsaw Man, I don't think I've noticed a single bad fight scene or the
                  ...
implementation of 3D models that ruin their fluidity. 

And gods, the eyes. They're so pleasant to look at in those close-ups. And the INTRO AND OUTRO. I'm not so into them that I watch them all the way through like I did the first season's, but they're still gorgeous. And again, the classic music is stunning along with their scenes. I don't think I've ever paid so close attention to a scene than when those tracks are playing. Seriously, the animation team should get a bonus check for those Amanai underwater scenes. Ahh, Amanai... 

I don't want to fanboy too hard, so I'll just leave it at that and say that I've not been so excited for the next episode since season one of Shield Hero."
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.,TheRealAmaz,"Usually, I try to praise any work I see, but unfortunately, this anime is just, bad. There is no arguing about it. 

Animation & Artstyle: 5.5/10
The art style is actually pretty decent, nothing jaw-breaking but it has good details, and I like the character designs, plus the contrast is actually pretty good compared to the pastel colour grading that other otome game anime usually have. But, the animation is pretty bad; The choreography makes the characters stiff, especially in fights, and the cinematography is quite plain as well. 

Sound design & Music: 7.5/10 
The overall sound design is rather bland, but the soundtrack is actually
                  ...
quite good. 

Story & Characters: 2/10
I don't know about the original novel, but I have to say, the writing in this anime is god-awful, just terrible. The plot itself is unoriginal. The characters are extremely shallow and often do things that shouldn't be possible at all. It's like the author has never met and interacted with real human beings, and only knows them through anime."
Isekai Shokudou 2,Gameboon,"This is a full series review, meaning my opinion on both season 1 and 2 are intertwined in this review. This is because I watched them one after another and because there is not enough of difference between the seasons to warrant a separate review.

First of all, let me say that if you’re looking for a relaxed, cozy slice-of-life series with an emphasis on food you’re in the right place with Isekai Shokudou. It’s all very lighthearted and a good way to forget your worries for a bit. I personally also feel the isekai aspect adds some spice into the mix and makes the character
                  ...
responses and interactions all the more interesting. 

Isekai shokudou starts out with a very strict dish-of-the-week format, and the various types of scenes that you will encounter in each episode follow their set schedule tightly. But just as it starts getting repetitive, somewhere around the half of season 1, this tight format becomes looser and looser while still adhering to the general idea. In essence, the dish-of-the-week format stays but how it is presented varies considerably. Near the end of the series it becomes a lot more freeform and you will get to see more of the fantasy world and not only stuff that happens in the restaurant.

There are always two main points that make up the episode – a combination of dish and character. Often, this means a new dish being served to a new patron. You get to experience some of their story and background and what led them to the restaurant. Because characters are from various nations in the fantasy world, their circumstances differ quite a bit. Some episodes expand upon characters you already know, adding to their story while still managing to introduce a new menu item. Of course, every patron is always pleasantly surprised by their meal. In addition, patrons interacting with one another is a pillar of the series as well and makes the world feel more alive.

Each episode has two halves, centering around a dish each. So even though there are only twelve episodes per season, you actually get 24 stories per season. I feel they managed to present a lot of joy and personality in such a short timeframe. There is no filler or unnecessary clutter.

The visual character designs are quite good and distinctive without being overly detailed or messy. The art and animation and general are fine and easy on the eyes. But where the visuals really shine is in the brief close-up shots of food. Those shots are some of the best views I’ve ever had the pleasure of watching in anime. It really makes me want to eat those dishes myself.

I have little to remark on the sound effects, they did what they needed to do. But the music was calm, cozy and iconic. What I mean by iconic is that whenever a particular type of scene takes place, the accompanying music is there to enhance and reinforce it.

The voice acting was generally very good, with many well-known VAs making an appearance.

In the end, Isekai Shokudou was a particularly enjoyable and memorable watch for me. I might even seek out the light novel source material because the anime was so much fun. In the end, it was the same thing happening over and over again with a “wow, this sure is delicious” response to the food, but it didn’t detract from my enjoyment at all. And if you’re looking for some cozy food and fantasy stories, I can hardly imagine anything better."
Mushoku Tensei II: Isekai Ittara Honki Dasu,Malighos,"Garbage shit aimed at pedophiles.
The protagonist is an actual pedophile.
The story enables his pedophilic behaviour as he grooms little girls to fuck later on.
This show is absolutely disgusting.

If you like that shit or shit like Cuties, you will probably like this garbage.
If you hate actual pedophiles, skip this.

""but but he redeems himself..."" No he fuckin doesn't. He is a grooming pedophile from start to finish. The overall story is garbage and predictable, the characters are insufferable. The only thing this series has going for it are it's visuals, but in todays market they are nothing special."
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,CripplingBigSad,"At the heart of this goofy, action-packed anime, lies a key message worth remembering long after the series ends:
""Live every day like it's your last""

Zom 100 perfectly tackles one of the most relevant issues impacting the lives of too many young adults. If you have ever worked yourself to the brink of exhaustion for some faraway goal you've long since forgotten, sold your happiness for hollow material gain, become too obsessed with maintaining the perfect life to actually enjoy it, or cut ties with every important person in your life to make room for ""the grind"", then this anime will speak to you on a
                  ...
fundamental emotional level previously not thought possible. Zom 100 is the perfect antidote to the drudge of everyday life. It teaches you to be defiantly upbeat when you have no right to be, to enjoy moments both big and small, to live fulfilled without any regrets, and above all, to take care of yourself.

Because hey, if the MC can find happiness during a zombie apocalypse, then why can't you?

Animation:
Zom 100 simply has no right being this gorgeous. The artstyle is unusually vibrant and expressive for a zombie anime, but adoringly fitting given the show's entire ""party at the end of the world"" theme. The colors and camera angles of each frame feels carefully crafted and thought-out to convey a particular feeling, like the very best of any critically acclaimed masterpiece. Shots are fluid, and lighting is bright. Oh, and I almost forgot. This show has some of the best character designs I have ever seen, period. Overall, Zom 100's animation is bursting with style and attitude, an absolute treat to the eyes.

Music:
Absolutely perfect. It's not something I can quite explain, but the anime's score somehow manages to capture the emotions of each scene so well. The triumphant tracks make epic moments hit twice as hard, while the OP and ED really manages to convey that rebelliously upbeat vibe the anime has got going.

Voice acting:
Whoever voices the MC should be given a raise. Every line felt real and visceral, like it came straight from the character. Nothing much else to add, but the voice acting across the board is great.

Really, I've got zero complaints"
Cyberpunk: Edgerunners,NoahJPG,"THIS IS THE BEST PIECE OF FICTION I'VE EVER SEEN. From start to finish it's a rollercoaster of emotions without a single boring episode. If I could pick one movie or show to watch for the first time again this would be the one, the ending is so sad and so beautiful, not to mention the amazing art style, animation and character design, it fits the cyberpunk theme extremely well. This masterpiece definitely deserved Anime of the Year.

If your like me and can't watch anime that has a slow start, this is highly recommended, It gets right into the action in the very first episode,
                  ...
and continues to keep that throughout every episode."
Tengoku Daimakyou,Elixio,"Rarely has an anime touched and moved me as deeply as Tengoku Daimakyou.

The world depicted in the adaptation is brutally real and harsh. The world-building is close to perfection and all the adventures of the main characters are genuinely touching to watch.

This is how I could speak of this anime, a very, very hard reality. If you don't have the heart for it, this anime is not for you.

Tengoku Daimakyou clearly walks in some of Evangelion's footsteps in certain respects.

The animation is finely tuned and the execution is sublime.

The style, though outside certain modern animation standards, is flawless. It fits perfectly with the theme and
                  ...
perfectly describes the sentiment of the series.

The opening, as I couldn't overlook the opening which has that certain something exceptional that makes it work perfectly with the anime.

However, I want to re-emphasize that the world of Tengoku Daimakyou is far from ours, but the human condition and how individuals would act in this world is strikingly real to the point of sometimes being very scary/traumatizing, in my case. Just for that, the anime deserves to be watched.

Tengoku Daimakyou deserves to be watched by all people who like to have their hearts boken and who wish to experience an adventure in a post-apocalyptic world crying out in reality and realism."
Hanma Baki: Son of Ogre 2nd Season,No-LifeKing_26,"As the newer Baki seasons released they have been become more and more of series told almost entirely through a narrative. What do I mean by this? With every fight or a particular event there is always an narrator over explaining it. Where this move came from (which isn't always bad), why he did this/that happen, what are we viewing, etc and this happens constantly. And honestly it just gets played out. The fights scenes are really mediocre and you always wonder if Yujiro is going to do something. I watched this because I watched the other Baki series and from a true anime fan's
                  ...
perspective, you are not missing anything. The ending was very anticlimactic and now it's more of a, ""what will they think of next"", an alien from space?"
Biohazard: Death Island,captainkid-tr,"Firstly Sorry for my bad English :))
Resident Evil, also known as the Biohazard series, has a very special place for me. I love all the characters, especially Leon (I love everyone, including Ashley, who has cancer in Re 4' game) and when I saw the trailer of this movie, I was already in the mood saying ""Oh, let's watch it right away"". This movie has Resident Evil Avengers, almost all the popular characters. Leon, Chris, Clarie, Jill and Rebecca what more. Even if these characters only shoot at the zombies, they have set up such a cast that we can watch for 1.5 hours without
                  ...
getting bored. (This time, not just Leon, everyone is hooked to John Wick, they go to the pistol Headshot :D Normally, Resident Evil animated movies, dont talk about previous games and movies. ""He always writes scenarios by underlaying them as if he is playing to the new audience. However, this is not the first time they have done this in this movie, and this decision was very good. It was nice to talk about the old ones and refer to them. I finished resident evil 2-7 games. Film."" We understand that after the 5th Game, becasuse Chris saying ""Wesker had brainwashed Jill""  even from what Chris said about Piers Nivans, after the 6th Game, it felt nostalgic for him to accept the past and talk about it. Even I, who are just plain viewers without research, understood the time. Likewise, from the conversation between Maria Gomez in Leon, referring to the previous movie, Resident Evil Vendetta, which was reviewed on our site, we can accept that movie and understand that this production took place after that.

I realize it's a long introduction because I really like the series. The animations look great in this movie, too. Not a Final Fantasy quality, but still great for today's conditions. (Let me point out that the mouth and eyes are sometimes ridiculous and glaring) The voice-over staff is amazing. I watched English, and I recommend English to you rather than Japanese. You praise it so much, but you will say why did you give 8? The main villain of the movie is a mediocre one, the animations I've said stand out from place to place. There are no music patterns. And I think the biggest minus is that they had to put some tension parts. It's been a lot of action. I think the action scenes are great, but the thriller is a genre that should be in the genes of Resident Evil. but unfortunately it was never in the movie. In addition, the film is very short, only 1.5 hours long. So I don't want to talk much about the story. If you remove the action parts, there is a little story left. In terms of the story of the movie, I think it starts out very strikingly, but then it becomes mediocre. That's why I think you will watch a very enjoyable crispy cookie movie with 8 points. (By the way, it's sad that they didn't add a scary voiceover called RESSİİNTT EVİLLL DEATHH ISLANDDD at the beginning of the movie :D )

Let me not go without praise, I liked the last Boss fight too much. Take down the big Boss by using the guns, bullets and other gear around. Just like in their games. Especially in the Resident Evil 6 game, we were getting into such crowded boss fights, it gave me nostalgia. Nobody likes it, but I would like to see Wesker's Son Jake Muller in RE 6' in game.I I wish I see him next animation movie But they literally wiped out the character. After Resident Evil Infinite Darkness, which was a big disappointment for me, this movie came as a medicine, I hope you enjoy watching it. Don't expect too much, but you will have an enjoyable 1.5 hours from me. I hope the film draws a graph that climbs upwards by throwing off the low scores it has now received. So we keep seeing movies like this. Otherwise, we're left with the infamous Resident Evil series and movies shot by real people. Imdb series with 2.5-3 points, they are making the movie, they are not ashamed, they call it REsident Evil. Shame on the brand. So let's value and upgrade these animations. See yha in ; Quality animes, Charisma like Leon, Muscular like Chris, beautiful like Jill, smart like Rebecca, meddling like Claria, but a survivor :D"
Suki na Ko ga Megane wo Wasureta,L3_MufF1n,"I’ve seen a fair share of romance anime and generally content centered around some kind of gimmick. The usage of a gimmick is fine as a sort of introduction or preliminary tool to lead to character interaction and maybe develop a unique relationship. This anime chooses something unique but it feels like it’s doomed to destroy any potential in the story by how stupid it is, the female lead constantly finds a way to forget her glasses even with extreme visual impairment. Thus, leading the involvement of the main character into her life, using it as a stepping stone to get closer with his crush.
                  ...


Every scenario or time that she forgets her glasses seems so fake, even for an anime this seems entirely unbelievable. Playing into a sort of clip like pacing with little events with the MC just helping her is so random, no one just forgets their glasses everyday. Furthermore, it’s just like seeing the same thing all the time and gets extremely repetitive on top of my prior gripes.

On the other hand the art design, animation and everything is beautiful which deserves props for sure, as that’s the only thing that really kept me watching past like the first two episodes. The eyes, hair and everything always looks very on point with fluidity and a natural feel. This kind of flair is great and all except when it feels like it’s weighing down the pace of the story, there are an excessive amount of establishing shots thrown at you constantly which make the start or transitions within episodes feel sluggish. Why do I need to watch random people and the MC walking to school or through the hallway and why does it last so long? I feel myself also getting mad at the unusual perspectives they use in some of these scenes, it feels extremely alien to other anime and the way they use them feels off putting. 

Beyond these issues the MC is just a simp for his crush which seems odd because he basically just becomes her slave entirely to progress a relationship and ignore all her red flags like her awful awareness and memory. It just removes the grounding from the plot when I’m baffled by the wacky and random nature of their actions rooted in something that I simply can’t imagine happening at all, I’m talking about everything in relation to the forgetting glasses gimmick.

The story is mildly wholesome but lacks realism and pacing or anything that really goes anywhere, entertainment-wise there’s much better but it’s okay and the art style is great but feels like it’s controlling the narrative’s flow negatively and the characters feel extremely artificial and unrelatable."
